review_id,source,product_category,review_text,rating,label
REV00001,Google Play Store,Games - Battle Royale,":Request to Bring Back the Old PUBG Settings Hello PUBG Team, I am a regular PUBG player and I want to share my opinion about the recent update. The new UI and the changed settings are not comfortable for many players. The old interface was simple, smooth, and easy to use, but the new one feels complicated and confusing. Many players are facing difficulties in finding settings and controlling the game like before. The previous system helped us play better and enjoy",5,positive
REV00002,Google Play Store,Games - Puzzle,"Levels suddenly get easier when you spend gold to get boosters. Coincidence? I think not. A shadow of what it once was. Multiple events pop up on a deadline so you can't just sit down and play for five minutes, it manufactures a sense of urgency which drives you to pay for stuff when levels suddenly get hard (when, of course, you're not paying for stuff). I think the game would benefit from giving everyone a fair shot and keeping the boosters optional for those who want to progress faster",2,negative
REV00003,Google Play Store,Games - MOBA,"please fix the matchmaking system! It is extremely bad and very frustrating. I often get matched with players who clearly don’t know how to play properly or who are trolling for no reason. Out of 10 matches, I only win 2. This is very unfair and ruins the overall gaming experience. Please improve the matchmaking system so players can have a fair and enjoyable experience!",1,negative
REV00004,Google Play Store,Games - Social Deduction,"It's fun n all with other players, really good but the issues aren't with the gameplay. It's the app, users (including I) experience disconnecting due to network reasons. I came here because I got disconnected multiple times by my network yet the game keeps flagging it as intentionally disconnecting. Can you guys just do something about this issue, and improve detecting of players actually disconnecting so we wouldn't be punished wrongly?",3,neutral
REV00005,Google Play Store,Games - Augmented Reality,"the game is fun at first, but it quickly gets boring since nothing new is added often so people are more likely to not play it. if you could maybe get something everyone would want to have in this game, you may get more players! I do like the game, just got bored after a while.",3,neutral
REV00006,Google Play Store,Games - Sandbox,"I love minecraft, redstone is truly fun to learn and create But the recently game broke for me. My phone updated and added a vulkan gpu booster that can't be turned off, since then my minecraft inventory appears clear and grass keeps glitching by twitching really fast aswell as certain mobs becoming hollow. Worst of all, doors and interactive blocks flicker and only load the backside of whatever i look at. Please add vulkan support for mc soon🙏",3,neutral
REV00007,Google Play Store,Games - Social Deduction,My opinion why Among us is the best 1. The Lobby literally the best because that's how I meet people and do a conversation before the game starts 2 The game is the best because it help you to be careful who you trust and the tasks is so much fun doing them. I like running away from the imposter lol 3. The role in imposter and crewmate is fun and exciting to use them 4 the color's of the clothing is just totally perfect also the accessories theme is just Perfect I started playing among us 2021!,5,positive
REV00008,Google Play Store,Games - Racing,"I started playing this game since its launch in 2018 and logged in regularly during 2018-2023 and invested too much time in it. I stopped playing after that for many circumstances only to return this year to find out that they deleted my entire progress! and they can't retrieve it at all because they also delete all backups from their servers ""due to technical reasons"" So instead of rewarding returning players with exclusive bonuses like PUBG, you make them start from scratch!",1,negative
REV00009,Google Play Store,Games - MOBA,"Overall, the gameplay, the graphics, and the event mode are great. BUT what i really hate is when every time i play rank, i always get a really bad teammate (even play with friend), which is so frustrating. Do you know how hard it is to play rank? Yeah, and it's so depressing for me and testing my patience. Separate those who play solo and those who play with friends! FIX YOUR FREAKING MATCHMAKING!! and also please fix the bug, it's kinda annoying.",3,neutral
REV00010,Google Play Store,Games - Endless Runner,"Subway Surfers is a fun, colorful, and highly addictive endless runner game. The graphics are vibrant, animations are smooth, and the controls are very easy to use. Frequent updates, new cities, characters, and events keep the gameplay exciting. It runs smoothly without issues and is perfect for all age groups. One of the best endless runner games ever—highly recommended!",5,positive
