review_id,source,product_category,review_text,cleaned_text,tokens,token_count,rating,label
REV00001,Google Play Store,Games - Endless Runner,this game is a amazing I had so much fun advertised you can make you don't have to pay money I honestly think the game should be in the top 5 so yeah,game amaze much fun advertise make n't pay money honestly think game top yeah,game | amaze | much | fun | advertise | make | n't | pay | money | honestly | think | game | top | yeah,14,5,positive
REV00002,Google Play Store,Games - Strategy,"I'm really mad at them for only one reason, the whole gaming experience is the best but during attacks when the connection is lost, they keep the record of the match attack but not the lost connection because of which we lose one attack(may it be war, ranked battles or multiplayer battles). We all know the value of losing one attack. They should try fixing this problem by letting us complete the attack even though connection is lost or not keep the record of that attack and not losing one attack",'m really mad one reason whole game experience best attack connection lose keep record match attack not lose connection lose one attack may war rank battle multiplayer battle know value lose one attack try fix problem let u complete attack even though connection lose not keep record attack not lose one attack,'m | really | mad | one | reason | whole | game | experience | best | attack | connection | lose | keep | record | match | attack | not | lose | connection | lose | one | attack | may | war | rank | battle | multiplayer | battle | know | value | lose | one | attack | try | fix | problem | let | u | complete | attack | even | though | connection | lose | not | keep | record | attack | not | lose | one | attack,52,1,negative
REV00003,Google Play Store,Games - Sandbox,"i dont get all this realistic bs, the platform itself is good and some games are okay and even fun but thats about it... i myself have spent some money on the game but its been getting worse and worse every update, i dont know what the investors are up to or whatever but the only thing they are doing is making the experience worse, and tbh it feels like the game is losing its charm as the days go by.",dont get realistic b platform good game okay even fun thats spend money game get worse worse every update dont know investor whatever thing make experience worse tbh feel like game lose charm day go,dont | get | realistic | b | platform | good | game | okay | even | fun | thats | spend | money | game | get | worse | worse | every | update | dont | know | investor | whatever | thing | make | experience | worse | tbh | feel | like | game | lose | charm | day | go,35,1,negative
REV00004,Google Play Store,Games - Action RPG,"Genshin Impact is an amazing game with stunning graphics, an immersive world, and engaging gameplay. Exploring Teyvat is always fun, and the characters are well-designed. However, for mobile users, adding customizable control buttons would greatly improve comfort and gameplay. Also, a built-in voice chat feature for co-op mode would make communication easier and more enjoyable. Overall, it’s a fantastic game, but these improvements would make the experience even better for phone players.",genshin impact amaze game stun graphic immersive world engage gameplay explore teyvat always fun character well design however mobile user add customizable control button would greatly improve comfort gameplay also build voice chat feature co op mode would make communication easier enjoyable overall fantastic game improvement would make experience even better phone player,genshin | impact | amaze | game | stun | graphic | immersive | world | engage | gameplay | explore | teyvat | always | fun | character | well | design | however | mobile | user | add | customizable | control | button | would | greatly | improve | comfort | gameplay | also | build | voice | chat | feature | co | op | mode | would | make | communication | easier | enjoyable | overall | fantastic | game | improvement | would | make | experience | even | better | phone | player,53,3,neutral
REV00005,Google Play Store,Games - MOBA,"Overall, the gameplay, the graphics, and the event mode are great. BUT what i really hate is when every time i play rank, i always get a really bad teammate (even play with friend), which is so frustrating. Do you know how hard it is to play rank? Yeah, and it's so depressing for me and testing my patience. Separate those who play solo and those who play with friends! FIX YOUR FREAKING MATCHMAKING!! and also please fix the bug, it's kinda annoying.",overall gameplay graphic event mode great really hate every time play rank always get really bad teammate even play friend frustrate know hard play rank yeah 's depress test patience separate play solo play friend fix freak matchmaking also please fix bug 's kinda annoy,overall | gameplay | graphic | event | mode | great | really | hate | every | time | play | rank | always | get | really | bad | teammate | even | play | friend | frustrate | know | hard | play | rank | yeah | 's | depress | test | patience | separate | play | solo | play | friend | fix | freak | matchmaking | also | please | fix | bug | 's | kinda | annoy,45,3,neutral
REV00006,Google Play Store,Games - Sandbox,"i think updating it i a waste of time and we dont need to do it. but overall it's a great game to play and make friends but we need our chat box back bc it should not take our voices so yeah. i love this game in my opinion, and we should get the choice to choose what gets updated, like the faces should not change, no matter what. but overalll this is a great game to play and get more social when playing.",think update waste time dont need overall 's great game play make friend need chat box back bc not take voice yeah love game opinion get choice choose get update like face not change no matter overalll great game play get social play,think | update | waste | time | dont | need | overall | 's | great | game | play | make | friend | need | chat | box | back | bc | not | take | voice | yeah | love | game | opinion | get | choice | choose | get | update | like | face | not | change | no | matter | overalll | great | game | play | get | social | play,43,3,neutral
REV00007,Google Play Store,Games - Action,"Hello, I’ve been playing Brawl Stars since 2020 and I would like to share my experience. The main issue for me is the matchmaking system. I currently have around 23,000 total trophies, but I sometimes get matched against players with 90,000+ trophies. Even if the brawler trophies are similar, the overall experience and skill difference feels very noticeable. This makes pushing trophies frustrating, especially at higher ranks. I believe improving the matchmaking system — possibly by considering",hello play brawl star since would like share experience main issue matchmaking system currently around total trophy sometimes get match player trophy even brawler trophy similar overall experience skill difference feel noticeable make push trophy frustrate especially higher rank believe improve matchmaking system possibly consider,hello | play | brawl | star | since | would | like | share | experience | main | issue | matchmaking | system | currently | around | total | trophy | sometimes | get | match | player | trophy | even | brawler | trophy | similar | overall | experience | skill | difference | feel | noticeable | make | push | trophy | frustrate | especially | higher | rank | believe | improve | matchmaking | system | possibly | consider,45,4,positive
REV00008,Google Play Store,Games - MOBA,I think the game is enjoyable to play but the match making system is unfair most of the time I'm always getting trashy teammates who are newbies or people who are intentionally feeding and is really frustrating when that happen and there are some people who would intentionally rank down to get win streak if you know what I mean-_- other than that the game it self is good I guess...,think game enjoyable play match make system unfair time 'm always get trashy teammate newbie people intentionally feed really frustrate happen people would intentionally rank get win streak know mean game self good guess,think | game | enjoyable | play | match | make | system | unfair | time | 'm | always | get | trashy | teammate | newbie | people | intentionally | feed | really | frustrate | happen | people | would | intentionally | rank | get | win | streak | know | mean | game | self | good | guess,34,1,negative
REV00009,Google Play Store,Games - Endless Runner,I like this game and I don't mind the ads except the doordash ad ii is every time and long put other ads in besides just that one or I may delete the game,like game n't mind ad except doordash ad ii every time long put ad besides one may delete game,like | game | n't | mind | ad | except | doordash | ad | ii | every | time | long | put | ad | besides | one | may | delete | game,19,3,neutral
REV00010,Google Play Store,Games - Puzzle,"Dear CC Company Why did you change the game play sounds? Now it sounds like a splash. I don't like it at all. I used to love the sounds. 😔 I'm at Level 2628, and I am sure there is no way to pass this level without boosters. And even with boosters, it isn't enough. You will need a bunch to pass, and probably use them all up. The game play is this 23 moves to clear 130 candys and free 5 gummies. Try it. lol",dear cc company change game play sound sound like splash n't like use love sound pensive_face 'm level sure no way pas level without booster even booster n't enough need bunch pas probably use game play move clear candy free gummies try lol,dear | cc | company | change | game | play | sound | sound | like | splash | n't | like | use | love | sound | pensive_face | 'm | level | sure | no | way | pas | level | without | booster | even | booster | n't | enough | need | bunch | pas | probably | use | game | play | move | clear | candy | free | gummies | try | lol,43,4,positive
